Macrotrends Data Download;;;
;;;
U.S. GDP Growth Rate 1961-2023;;;
;;;
;;;
"DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED ""AS IS"" AND SOLELY";;;
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.;;;
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE;;;
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.;;;
;;;
;;;
"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net"".";;;
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page.";;;
;;;
;;;
; ; ; 
date; GDP Growth (%); Annual Change; 
31.12.1961;2.3;;
31.12.1962;6.1;3.8;
31.12.1963;4.4;-1.7;
31.12.1964;5.8;1.4;
31.12.1965;6.4;0.6;
31.12.1966;6.5;0.1;
31.12.1967;2.5;-4;
31.12.1968;4.8;2.3;
31.12.1969;3.1;-1.7;
31.12.1970;-0.2835;-3.38;
31.12.1971;3.2934;3.58;
31.12.1972;5.2589;1.97;
31.12.1973;5.6457;0.39;
31.12.1974;-0.5406;-6.19;
31.12.1975;-0.2055;0.34;
31.12.1976;5.3881;5.59;
31.12.1977;4.6242;-0.76;
31.12.1978;5.5353;0.91;
31.12.1979;3.1661;-2.37;
31.12.1980;-0.2567;-3.42;
31.12.1981;2.5377;2.79;
31.12.1982;-1.8029;-4.34;
31.12.1983;4.5839;6.39;
31.12.1984;7.2366;2.65;
31.12.1985;4.1697;-3.07;
31.12.1986;3.4626;-0.71;
31.12.1987;3.4593;0;
31.12.1988;4.1771;0.72;
31.12.1989;3.6726;-0.5;
31.12.1990;1.886;-1.79;
31.12.1991;-0.1083;-1.99;
31.12.1992;3.5224;3.63;
31.12.1993;2.7518;-0.77;
31.12.1994;4.0288;1.28;
31.12.1995;2.6842;-1.34;
31.12.1996;3.7726;1.09;
31.12.1997;4.4472;0.67;
31.12.1998;4.4814;0.03;
31.12.1999;4.7945;0.31;
31.12.2000;4.0772;-0.72;
31.12.2001;0.9543;-3.12;
31.12.2002;1.6959;0.74;
31.12.2003;2.7962;1.1;
31.12.2004;3.8526;1.06;
31.12.2005;3.4832;-0.37;
31.12.2006;2.7828;-0.7;
31.12.2007;2.0105;-0.77;0.020105
31.12.2008;0.1222;-1.89;0.001222
31.12.2009;-2.5999;-2.72;-0.025999
31.12.2010;2.7089;5.31;0.027089
31.12.2011;1.5499;-1.16;0.015499
31.12.2012;2.2807;0.73;0.022807
31.12.2013;1.8419;-0.44;0.018419
31.12.2014;2.2878;0.45;0.022878
31.12.2015;2.7064;0.42;0.027064
31.12.2016;1.6675;-1.04;0.016675
31.12.2017;2.2419;0.57;
31.12.2018;2.9454;0.7;
31.12.2019;2.2944;-0.65;
31.12.2020;-2.7678;-5.06;
31.12.2021;5.9455;8.71;
