Macrotrends Data Download;;;
;;;
U.S. GDP Per Capita 1960-2023;;;
;;;
;;;
"DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED ""AS IS"" AND SOLELY";;;
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.;;;
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE;;;
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.;;;
;;;
;;;
"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net"".";;;
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page.";;;
;;;
;;;
; ; ; 
date; GDP Per Capita (US $); Annual Growth Rate (%); 
31.12.1960;3007.1234;;
31.12.1961;3066.5629;1.98;
31.12.1962;3243.8431;5.78;
31.12.1963;3374.5152;4.03;
31.12.1964;3573.9412;5.91;
31.12.1965;3827.5271;7.1;
31.12.1966;4146.3166;8.33;
31.12.1967;4336.4266;4.59;
31.12.1968;4695.9234;8.29;
31.12.1969;5032.1447;7.16;
31.12.1970;5234.2967;4.02;
31.12.1971;5609.3826;7.17;
31.12.1972;6094.018;8.64;
31.12.1973;6726.359;10.38;
31.12.1974;7225.6914;7.42;
31.12.1975;7801.4567;7.97;
31.12.1976;8592.2535;10.14;
31.12.1977;9452.5765;10.01;
31.12.1978;10564.9482;11.77;
31.12.1979;11674.1819;10.5;
31.12.1980;12574.7915;7.71;
31.12.1981;13976.1054;11.14;
31.12.1982;14433.7877;3.27;
31.12.1983;15543.8937;7.69;
31.12.1984;17121.2255;10.15;
31.12.1985;18236.8277;6.52;
31.12.1986;19071.2272;4.58;
31.12.1987;20038.9411;5.07;
31.12.1988;21417.0119;6.88;
31.12.1989;22857.1544;6.72;
31.12.1990;23888.6;4.51;
31.12.1991;24342.2589;1.9;
31.12.1992;25418.9908;4.42;
31.12.1993;26387.2937;3.81;
31.12.1994;27694.8534;4.96;
31.12.1995;28690.8757;3.6;
31.12.1996;29967.7127;4.45;
31.12.1997;31459.139;4.98;
31.12.1998;32853.677;4.43;
31.12.1999;34515.3902;5.06;
31.12.2000;36329.9561;5.26;
31.12.2001;37133.6231;2.21;
31.12.2002;37997.7597;2.33;
31.12.2003;39490.275;3.93;
31.12.2004;41724.6316;5.66;
31.12.2005;44123.4071;5.75;
31.12.2006;46302.0009;4.94;
31.12.2007;48050.2238;3.78;
31.12.2008;48570.046;1.08;
31.12.2009;47194.9434;-2.83;
31.12.2010;48650.6431;3.08;
31.12.2011;50065.9665;2.91;
31.12.2012;51784.4186;3.43;
31.12.2013;53291.1277;2.91;
31.12.2014;55123.8498;3.44;
31.12.2015;56762.7295;2.97;
31.12.2016;57866.7449;1.94;
31.12.2017;59907.7543;3.53;
31.12.2018;62823.3094;4.87;
31.12.2019;65120.3947;3.66;
31.12.2020;63530.6335;-2.44;
31.12.2021;70248.629;10.57;
